,Número de registro,Denominação,Título,Autor,Classificação,Resumo descritivo,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - espessura,Dimensões - diâmetro,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,ACERVO,URL,TAINACAN_COLECTION_ID
50,176,Retrato (Pintura),Anna Isabel de Castro Mourão,Edgard Parreiras,02 Artes Visuais/Cinematográfica > 02.6 Pintura,"Retrato (pintura) a óleo sobre tela, representando Anna Isabel de Castro Mourão. Tela e moldura de formato oval, com representação de figura feminina, ¾, jovem, com corpo ligeiramente voltado à esquerda, de cabelos castanhos escuros e lisos, presos por penteado com mechas caídas na parte de trás. Apresenta rosto oval, testa curta, sobrancelhas e olhos em tom castanho escuro, tendo o olhar voltado para esquerda, nariz e boca grandes e sua orelha esquerda aparente com brinco pendente, além de costeleta visível. Traja vestido azul, de mangas compridas, com gola em “V” de babados e blusa branca com renda sobreposta por gargantilha em tecido preto ornada por pequeno broche ao centro. Sobre o peito, na parte inferior da gola do vestido, medalhão dourado com efígie de figura masculina (provavelmente do marido, Aureliano Martins de Carvalho Mourão). Fundo liso, em tom marrom claro e escuro. Moldura oval em madeira com frisos internos lisos intercalados por friso com ornatos seriados, em formato de “U”. Cercando os frisos, faixa em gesso patinado e dourado, ornada por motivos fitomorfos, conchas e volutas em relevo. Na parte externa, frisos com traços seriados de tamanhos diferenciados e em relevo. Na parte inferior central, sobre a moldura, placa em metal, com a inscrição: “EDGARD PARREIRAS/ RETR. DE D. ANNA IZABEL/ DE CASTRO MOURÃO” (fixada por dois pregos).",71,59,,,,,Gesso | Metal | Purpurina | Tinta,Brasil > Rio de Janeiro,Século XX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
51,177,Ferro de passar,,Não identificado,05 Interiores > 05.3 Equipamento de serviços domésticos,"Ferro de passar, de pequeno porte, confeccionado em metal (ferro). Parte inferior da peça composta por estrutura delgada, em formato de triângulo isósceles com laterais ligeiramente abauladas e escalonadas, tendo inscrição, em relevo, na superfície da chapa. Inscrição composta por estrela de cinco pontas, ao centro, circundada por dois frisos, intercalados pela legenda: “MARCA REGISTRADA”. Objeto com alça formada por duas hastes verticais retorcidas, com a parte superior mais espessa (para encaixe da mão). Fundo do objeto liso.","11,7",10,"14,1",,,,Metal,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
52,178,Ferro de passar,,Não identificado,05 Interiores > 05.3 Equipamento de serviços domésticos,"Ferro de passar, de pequeno porte, confeccionado em metal (ferro). Parte inferior da peça composta por estrutura espessa, de formato ovalado, tendo a parte posterior reta. Apresenta alça em chapa delgada com extremidades em linhas sinuosas (para encaixe da mão). Fundo do objeto liso.","11,3",8,"14,5",,,,Metal,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
53,179,Porta-copos,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Porta-copos confeccionado em madeira. Peça composta por duas tábuas delgadas, de recorte oval, sendo a superior vazada contendo quatro orifícios para encaixe dos copos (inexistentes). Tábuas unidas através de quatro pequenas estruturas verticais, em formato de balaústre, estes com a parte superior arrematada por bola, seguida de estrangulamento e parte bojuda, tendo pé circular. No centro do objeto, destaca-se haste de sustentação, proeminente, de base cilíndrica e corpo com estrangulamentos e frisos, arrematada por bola (para manuseio da peça). Objeto apoiado sobre quatro pés arredondados (constituídos a partir do prolongamento dos pequenos balaústres).","23,2","16,7",,,,,Madeira,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
54,180,Cálice,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Cálice de dimensões médias, confeccionado em vidro fosco com ornamentação em motivos florais pintados em relevo. Pintura de ramalhete de flores em tom rosa e branco com botões amarelos e verdes, cercado por folhas nos tons verde claro e escuro, tendo extensão de graveto pintado em tom castanho escuro e arrematado por três flores brancas contornadas por friso dourado na extremidade. Parte superior do objeto ornada por borda em friso simples e dourado. Parte inferior decorada por dupla de frisos em meia-cana dourados intercalados por estrangulamento, seguido de base circular com friso dourado na superfície da mesma.","12,4",,,,"7,4",,Tinta | Vidro,Brasil > [Rio de Janeiro?],Século XIX | Século XX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
55,181,Cálice,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Cálice de dimensões médias, confeccionado em vidro transparente. Peça composta por pé circular e haste de sustentação com estrangulamentos e disco (na parte central).","10,9",,,,6,,Vidro,Brasil > [Rio de Janeiro?],Século XIX | Século XX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
56,183,Freio de cavalgadura,,Não identificado,11 Transporte > 11.3 Acessório de Transporte Terrestre,"Freio de cavalgadura confeccionado em metal (prata e ferro), com ornatos em relevo. Objeto composto por duas hastes com decoração na face externa em prata repuxada, cinzelada e gravada, com estrutura recortada em curva, apresentando, em uma das extremidades, corrente (com vinte e cinco elos) fixada por aro duplo de um lado e por gancho do outro. Cada haste é ornada por medalhão oval ornado por duas flores e folhagens, ladeado por dois pinos e cercado por duas serpentes estilizadas, além de folhas vazadas. Hastes com prolongamento em curva, ornado por pequenos traços seriados intercalando folhagem bipartida na extremidade e arrematado por aro e argola. As hastes dispostas em paralelo do objeto são interligadas por estrutura delgada em ferro, com recorte sinuoso na parte central. Apresenta ainda outras duas pequenas hastes com orifícios unidos por três argolas. Parte interna das hastes em prata lisa. Objeto sem marca.","19,5",16,,,,,Metal,Brasil > [Minas Gerais?],Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
57,184,Pia Batismal,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Pia batismal, de grande porte, confeccionada em pedra-sabão, na técnica da cantaria. Parte superior do objeto composta por bacia circular, contendo friso na borda e ornada, na parte externa, por friso com motivos florais (série de flores de seis pétalas, cada uma delas ladeada por duas volutas), tendo a parte interna lisa com orifício no fundo para a saída de água. Bacia sustentada por coluna cilíndrica apoiada sobre base escalonada e pedestal de formato quadrangular.",114,,,,76,,Pedra,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
58,185,Palma,,Não identificado,08 Insígnias,"Madeira entalhada e vazada, em forma de uma compoteira, de base circular frisada; bojo em acanto com dois “esses” formando as alças; da boca sobe um ramo em curvas simétricas, formado por acantos e volutas, com uma flor centrada por laçaria na parte inferior, uma flor-de-lis ao meio e um concheado no arremate superior.",48,23,,,10,,Madeira,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
59,186,Escultura Religiosa,“Crucifixo”,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura masculina, em posição de crucificado, em posição frontal, com a cabeça ligeiramente tombada à esquerda, com cabelos compridos, em mechas onduladas nas laterais, uma ponta caída pelo ombro direito; com coroa de espinhos; olhos fechados; boca entraberta; com bigode fino e barba furo abaixo do queixo. Braços estendidos em “Y”, (o esquerdo solto), mãos faltando os dedos. Tórax com as costelas levemente demarcadas, ventre bem retraído, com corte acentuado do lado direito do peito, de onde escorre marcas vermelhas imitando sangue. Pernas dobradas, com os joelhos chagados, com os pé direito sobre o esquerdo.. Veste um perizônio branco, seguro por corda dupla, com dobra em concheado ao meio, e laço amplo pela lateral esquerda.","30,5",20,,,,,Madeira | Ouro | Tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
60,187,Oratório,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Oratório de médio porte confeccionado em madeira escura (jacarandá) e lisa, apoiado sobre quatro pés escalonados. Objeto com estrutura em caixa retangular vertical, com abertura em duas folhas de porta fixadas por duas dobradiças de ferro em cada uma delas e com tramela em madeira para fechamento das mesmas. Parte interna com pintura em tom azul, com motivos florais em rosas vermelhas (visíveis nas paredes laterais) e folhagens verdes, comumente conhecidas como ""rosinhas-de-malabar"", entremeadas por ornatos emoldurados por tinta branca e pontos brancos no seu interior. Parte posterior do objeto em tábua inteiriça de madeira mais clara. Vestígios de pintura em tom vermelho claro na parte interna das portas. Na parte interna da folha de porta direita, etiqueta colada com a borda recortada, ornada ao centro pelo sagrado coração de Jesus em tom vermelho, cercado pelas seguintes inscrições em arco na parte superior e inferior, respectivamente: ""Alto! O coração de Jesus está comigo!"" e ""VENHA O VOSSO REINO!/ 100 dias d' indulgencia/ ...Junho de 1877"".","58,1",13,27,,,,Madeira | Metal | Tinta,Brasil > Minas Gerais,Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
61,190,Cadeirinha [de arruar],,Não identificado,11 Transporte > 11.6 Transporte Terrestre,"Cadeirinha [de arruar] confeccionada em madeira entalhada, pintada e dourada, couro e palhinha, contendo quatro varas para realizar o transporte. Peça de linhas singelas e manufatura erudita, com decoração “chinoiserie”, teto em baldaquino e duas varas para transporte. Apresenta estrutura em caixa de madeira de formato irregular, recortada em curvas, com cimalha em arco pintado em tom vermelho e encimada por torsado dourado e tendo a parte inferior ornada em couro rendilhado e dourado. Parte frontal do objeto em tábua reta emoldurada por friso, pintada em tom verde e recortada em curva na parte inferior, contendo, na parte central, vidro cercado por emolduramento com ornamentação dourada formada por volutas, conchas, motivos fitomorfos e guirlandas, encimada por folha de acanto estilizada. Parte inferior frontal em face abaulada composta por cena pintada com paisagem européia, composta por torres em tom acinzentado, vegetação verde e relva em tom amarelado, além de céu cinza. Cena emoldurada por volutas em tom vermelho.  Laterais do objeto pintadas em tom verde, com portas de vidro recortado em formato irregular, ornadas por frisos em linhas sinuosas e volutas em relevo, destacando-se, na parte superior, espécie de óculo oval, em vidro. Laterais com ornamentação pintada em volutas vermelhas e com folhas de acanto douradas, estas em relevo. Apresenta, na lateral direita, orifício para encaixe de chave. Parte posterior da peça composta por tábua reta na parte superior, e recortada em curva na parte inferior, com subdivisão feita por friso dourado em relevo, contendo duas cenas pintadas. Na cena superior, em primeiro plano, guerreiro representado através de figura masculina, jovem, de pé, trajando indumentária composta por capacete cinza com elmo vermelho, armadura cinza, saia semi-longa em tom alaranjado e botas de cano longo. Traje sobreposto por manto vermelho levemente esvoaçante. Com sua mão direita segura lança e com sua mão esquerda carrega escudo oval, em tom cinza, com representação de rosto de figura humana. Sobre relva verde e amarela, à direita da cena, tambor azul e vermelho, além de outros dois instrumentos, e, à esquerda, dois recipientes (?). Em segundo plano, ao fundo, mar azul e, à esquerda, castelo posicionado no alto de uma colina, céu azul e nuvens amarronzadas. Na cena inferior da parte posterior do objeto, paisagem composta por campo esverdeado, destacando-se, à direita, duas árvores e conjunto montanhoso, além de céu esbranquiçado e pássaros. Cena emoldurada por volutas em tom vermelho. Peça apoiada sobre base escalonada e sustentada por quatro pés entalhados, em formato de cabeça de animal estilizada, tendo o bico voltado para cima. Apresenta, nas partes frontal e posterior, duas varas abauladas, dispostas uma de cada lado, arrematadas por cabeça de animal estilizado, com focinho longilíneo, olhos pretos, tendo boca entreaberta, com dentes e língua aparentes. Objeto com teto abaulado e pintado de verde, tendo a parte central e as quatro extremidades arrematadas por pináculo dourado, além de ornamentação em volutas pintadas em tom vermelho. Apresenta estruturas em haste de ferro para sustentação das varas, que se estendem até os pés do objeto.",184,58,"330,0 (c/ Varas)",,,,Couro | Folha de Ouro | Madeira | Metal | Tinta | Vidro,Brasil > [Rio de Janeiro?],Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
